#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
16500,-24724.900390625,292.33236573101385,21.05432030111264,0.9065057295994535
16750,-24954.1328125,304.6583907098889,20.99174425727953,0.9092080082464842
17000,-24494.67578125,294.6256075664113,21.07078901340688,0.9057972140310826
17250,-24429.4453125,310.02104915284497,21.111787303187345,0.9040381902151514
17500,-24422.48828125,293.92796875150276,20.94384594030345,0.9112873557311971
17750,-24654.859375,297.99503829189484,20.77992706311563,0.9184758891506458
18000,-24733.306640625,301.27903205086136,20.425813826298427,0.9343990965592505
18250,-24825.74609375,317.19644589988195,20.22825489147507,0.943524890712356
18500,-24716.7890625,314.16805304474485,20.30288341928945,0.9400567196109454
18750,-24880.97265625,305.86309623611083,20.591340623987623,0.9268877793972706
19000,-24848.3515625,304.4839546786136,20.518978012058565,0.9301565591894656
19250,-24777.87890625,296.97696272527384,20.749374434560607,0.9198283083653295
19500,-24922.865234375,290.87218932673187,20.538578780439657,0.9292688744343652
19750,-25254.16015625,290.55998900231145,20.206860794278967,0.9445238515813574
20000,-25157.84375,284.1403437555756,20.26047470317892,0.9420244226946013
20250,-25129.837890625,284.3948327395234,20.409883783336348,0.9351284009448085
20500,-25148.94140625,281.6574274777167,20.283197771331775,0.940969081944101
20750,-25062.44140625,291.4708488833656,19.940396609933885,0.9571455552831143
21000,-25245.814453125,294.8518866624119,20.065215552256618,0.9511914754204682
21250,-24977.0546875,286.88180663383304,20.575548608761167,0.9275991784565999
21500,-24990.05078125,288.3584142649106,20.421858236614945,0.9345800839788956
21750,-25073.66015625,286.5977225583303,20.302270726778318,0.940085089132754
22000,-24944.87890625,286.69054283540714,20.57481795959912,0.9276321191885074
